<p>
This	DT	this
article	NN	article
is	VBZ	be
brought	VBN	bring
to	TO	to
you	PP	you
by	IN	by
our	PP$	our
exclusive	JJ	exclusive
subscriber	NN	subscriber
partnership	NN	partnership
with	IN	with
our	PP$	our
sister	NN	sister
title	NN	title
USA	NP	USA
Today	NP	Today
,	,	,
and	CC	and
has	VBZ	have
been	VBN	be
written	VBN	write
by	IN	by
our	PP$	our
American	JJ	American
colleagues	NNS	colleague
.	SENT	.
It	PP	it
does	VBZ	do
not	RB	not
necessarily	RB	necessarily
reflect	VB	reflect
the	DT	the
view	NN	view
of	IN	of
The	DT	the
Herald	NP	Herald
.	SENT	.
<p>
ANGUS	NP	Angus
Robertson	NP	Robertson
has	VBZ	have
refused	VBN	refuse
to	TO	to
say	VB	say
whether	IN	whether
the	DT	the
Scottish	NP	Scottish
Government	NP	Government
would	MD	would
back	RB	back
boycott	VB	boycott
,	,	,
divestment	NN	divestment
and	CC	and
sanctions	NNS	sanction
(	(	(
BDS	NP	BDS
)	)	)
against	IN	against
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
in	IN	in
a	DT	a
tense	JJ	tense
exchange	NN	exchange
with	IN	with
Greens	NP	Greens
co-leader	NP	co-leader
Patrick	NP	Patrick
Harvie	NP	Harvie
.	SENT	.
<p>
Harvie	NP	Harvie
repeatedly	RB	repeatedly
pressed	VBD	press
the	DT	the
External	NP	External
Affairs	NPS	Affairs
Secretary	NP	Secretary
on	IN	on
whether	IN	whether
the	DT	the
Scottish	JJ	Scottish
Government	NN	government
would	MD	would
"	''	"
in	IN	in
principle	NN	principle
"	''	"
back	RB	back
the	DT	the
idea	NN	idea
,	,	,
highlighting	VBG	highlight
that	IN	that
BDS	NP	BDS
was	VBD	be
an	DT	an
important	JJ	important
movement	NN	movement
in	IN	in
bringing	VBG	bring
down	RP	down
the	DT	the
white	JJ	white
supremacist	NN	supremacist
regime	NN	regime
in	IN	in
South	NP	South
Africa	NP	Africa
.	SENT	.
<p>
Robertson	NP	Robertson
said	VBD	say
while	IN	while
he	PP	he
was	VBD	be
"	``	"
open	JJ	open
"	''	"
to	TO	to
looking	VBG	look
at	IN	at
other	JJ	other
ways	NNS	way
Scotland	NP	Scotland
can	MD	can
apply	VB	apply
pressure	NN	pressure
to	TO	to
