<h>
Get	VB	get
the	DT	the
latest	JJS	late
Irish	JJ	Irish
Mirror	NP	Mirror
breaking	NN	breaking
news	NN	news
on	IN	on
WhatsApp	NP	<unknown>
<p>
At	IN	at
least	JJS	least
31	CD	@card@
people	NNS	people
have	VBP	have
been	VBN	be
killed	VBN	kill
near	IN	near
an	DT	an
aid	NN	aid
distribution	NN	distribution
centre	NN	centre
in	IN	in
the	DT	the
Rafah	NP	<unknown>
area	NN	area
of	IN	of
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Hamas-run	JJ	<unknown>
Palestinian	JJ	Palestinian
health	NN	health
ministry	NN	ministry
.	SENT	.
<p>
Earlier	RBR	earlier
,	,	,
a	DT	a
nearby	JJ	nearby
hospital	NN	hospital
run	VBN	run
by	IN	by
the	DT	the
Red	NP	Red
Cross	NP	Cross
reported	VBD	report
that	IN	that
at	IN	at
least	JJS	least
21	CD	@card@
people	NNS	people
had	VBD	have
been	VBN	be
killed	VBN	kill
.	SENT	.
The	DT	the
hospital	NN	hospital
,	,	,
which	WDT	which
has	VBZ	have
been	VBN	be
receiving	VBG	receive
bodies	NNS	body
and	CC	and
the	DT	the
wounded	JJ	wounded
,	,	,
also	RB	also
said	VBD	say
another	DT	another
175	CD	@card@
people	NNS	people
had	VBD	have
been	VBN	be
injured	VBN	injure
.	SENT	.
<p>
Witnesses	NNS	witness
said	VBD	say
the	DT	the
deaths	NNS	death
came	VBD	come
after	IN	after
Israeli	JJ	Israeli
forces	NNS	force
opened	VBD	open
fire	NN	fire
at	IN	at
a	DT	a
roundabout	NN	roundabout
near	IN	near
the	DT	the
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
hub	NN	hub
,	,	,
a	DT	a
new	JJ	new
aid	NN	aid
organisation	NN	organisation
backed	VBN	back
by	IN	by
Israel	NP	Israel
and	CC	and
the	DT	the
US	NP	US
.	SENT	.
<p>
However	RB	however
,	,	,
Palestinian	JJ	Palestinian
and	CC	and
Hamas-linked	JJ	<unknown>
media	NNS	medium
have	VBP	have
attributed	VBN	attribute
the	DT	the
deaths	NNS	death
it	PP	it
has	VBZ	have
reported	VBN	report
on	RP	on
to	TO	to
an	DT	an
Israeli	JJ	Israeli
airstrike	NN	airstrike
.	SENT	.
<p>
It	PP	it
is	VBZ	be
not	RB	not
yet	RB	yet
clear	JJ	clear
if	IN	if
eyewitnesses	NNS	eyewitness
and	CC	and
Hamas-affiliated	JJ	Hamas-affiliated
media	NNS	medium
are	VBP	be
giving	VBG	give
different	JJ	different
accounts	NNS	account
of	IN	of
the	DT	the
same	JJ	same
incident	NN	incident
.	SENT	.
<p>
The	DT	the
Israel	NP	Israel
Defence	NN	defence
Forces	NP	Forces
(	(	(
IDF	NP	IDF
)	)	)
said	VBD	say
it	PP	it
was	VBD	be
"	``	"
currently	RB	currently
unaware	JJ	unaware
of	IN	of
injuries	NNS	injury
caused	VBN	cause
by	IN	by
IDF	NP	IDF
fire	NN	fire
within	IN	within
the	DT	the
humanitarian	JJ	humanitarian
aid	NN	aid
distribution	NN	distribution
site	NN	site
"	''	"
,	,	,
adding	VBG	add
:	:	:
"	``	"
The	DT	the
matter	NN	matter
is	VBZ	be
still	RB	still
under	IN	under
review	NN	review
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
around	IN	around
a	DT	a
kilometer	NN	kilometer
from	IN	from
an	DT	an
aid	NN	aid
site	NN	site
run	VBN	run
by	IN	by
an	DT	an
Israeli-backed	JJ	Israeli-backed
foundation	NN	foundation
.	SENT	.
<p>
The	DT	the
foundation	NN	foundation
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
that	IN	that
it	PP	it
delivered	VBD	deliver
aid	NN	aid
"	''	"
without	IN	without
incident	NN	incident
"	''	"
early	JJ	early
Sunday	NP	Sunday
and	CC	and
has	VBZ	have
denied	VBN	deny
previous	JJ	previous
accounts	NNS	account
of	IN	of
chaos	NN	chaos
and	CC	and
gunfire	NN	gunfire
around	IN	around
its	PP$	its
sites	NNS	site
,	,	,
which	WDT	which
are	VBP	be
in	IN	in
Israeli	JJ	Israeli
military	JJ	military
zones	NNS	zone
where	WRB	where
independent	JJ	independent
access	NN	access
is	VBZ	be
limited	VBN	limit
.	SENT	.
<p>
The	DT	the
Gaza	NP	Gaza
Humanitarian	JJ	humanitarian
Foundation	NP	Foundation
'	POS	'
s	JJ	<unknown>
distribution	NN	distribution
of	IN	of
aid	NN	aid
has	VBZ	have
been	VBN	be
marred	VBN	mar
by	IN	by
chaos	NN	chaos
,	,	,
and	CC	and
multiple	JJ	multiple
witnesses	NNS	witness
have	VBP	have
said	VBN	say
Israeli	JJ	Israeli
troops	NNS	troop
fired	VBN	fire
on	IN	on
