<h>
Wounded	JJ	wounded
Israeli	JJ	Israeli
tattoo	NN	tattoo
artist	NN	artist
held	VBD	hold
hostage	NN	hostage
by	IN	by
Hamas	NP	<unknown>
was	VBD	be
operated	VBN	operate
on	IN	on
by	IN	by
a	DT	a
vet	NN	vet
in	IN	in
Gaza	NP	Gaza
,	,	,
her	PP$	her
family	NN	family
says	VBZ	say
<p>
Israeli	JJ	Israeli
hostage	NN	hostage
Mia	NP	Mia
Schem	NP	<unknown>
was	VBD	be
operated	VBN	operate
on	IN	on
in	IN	in
Gaza	NP	Gaza
,	,	,
her	PP$	her
aunt	NN	aunt
has	VBZ	have
claimed	VBN	claim
.	SENT	.
<p>
Schem	NP	<unknown>
was	VBD	be
released	VBN	release
by	IN	by
Hamas	NP	<unknown>
on	IN	on
Thursday	NP	Thursday
as	IN	as
part	NN	part
of	IN	of
a	DT	a
deal	NN	deal
with	IN	with
Israel	NP	Israel
.	SENT	.
<p>
In	IN	in
a	DT	a
video	NN	video
after	IN	after
her	PP$	her
release	NN	release
,	,	,
Schem	NP	<unknown>
said	VBD	say
that	IN	that
people	NNS	people
were	VBD	be
"	``	"
very	RB	very
kind	JJ	kind
"	''	"
to	TO	to
her	PP	her
during	IN	during
captivity	NN	captivity
.	SENT	.
<p>
The	DT	the
aunt	NN	aunt
of	IN	of
released	VBN	release
Israeli	JJ	Israeli
hostage	NN	hostage
Mia	NP	Mia
Schem	NP	<unknown>
said	VBD	say
that	IN	that
a	DT	a
vet	NN	vet
performed	VBD	perform
surgery	NN	surgery
on	IN	on
her	PP$	her
while	NN	while
Hamas	NNS	<unknown>
held	VBD	hold
her	PP	her
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	''	"
Finally	RB	finally
,	,	,
she	PP	she
is	VBZ	be
with	IN	with
us	PP	us
,	,	,
"	''	"
Vivian	NP	Vivian
Hadar	NP	Hadar
,	,	,
Schem	NP	<unknown>
'	POS	'
s	NN	S
aunt	NN	aunt
,	,	,
told	VBD	tell
The	DT	the
Jerusalem	NP	Jerusalem
Post	NP	Post
.	SENT	.
"	``	"
She	PP	she
was	VBD	be
traumatized	VBN	traumatize
.	SENT	.
She	PP	she
is	VBZ	be
thin	JJ	thin
and	CC	and
weak	JJ	weak
.	SENT	.
A	DT	a
vet	NN	vet
operated	VBN	operate
on	IN	on
her	PP$	her
hand	NN	hand
.	SENT	.
She	PP	she
did	VBD	do
physical	JJ	physical
therapy	NN	therapy
for	IN	for
herself	PP	herself
.	SENT	.
"	''	"
<p>
Schem	NP	<unknown>
was	VBD	be
one	CD	one
of	IN	of
