lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
city	206	5454	469.25	209.05	93.66	102.33	76.72	POSKW
offensive	186	4725	423.69	181.11	81.27	100.83	80.22	POSKW
crossing	83	1269	189.07	48.64	22.37	99.17	118.15	POSKW
eastern	59	828	134.4	31.74	14.68	77.8	123.59	POSKW
halt	106	2381	241.46	91.26	41.16	72.61	90.28	POSKW
camp	122	3089	277.9	118.4	53.14	66.59	80.49	POSKW
tally	80	1597	182.23	61.21	27.75	66.57	99.42	POSKW
cross	88	2014	200.46	77.2	34.79	58.31	88.79	POSKW
flee	96	2341	218.68	89.73	40.33	56.48	83.62	POSKW
tent	79	1773	179.95	67.96	30.65	54.2	90.35	POSKW
order	167	5271	380.41	202.04	89.99	53.6	61.25	POSKW
shipment	41	607	93.39	23.27	10.72	50.88	120.22	POSKW
assault	121	3522	275.63	135.0	60.29	48.21	68.49	POSKW
membership	26	261	59.23	10.0	4.75	47.54	142.2	POSKW
refuge	46	802	104.78	30.74	14.03	46.53	109.27	POSKW
incursion	45	773	102.51	29.63	13.54	46.43	110.31	POSKW
ruling	51	1010	116.17	38.71	17.56	42.96	100.02	POSKW
operation	195	6948	444.19	266.32	118.21	42.48	50.07	POSKW
reconsider	21	190	47.84	7.28	3.49	41.86	147.15	POSKW
southern	199	7294	453.3	279.58	124.0	39.03	47.41	POSKW
encampment	42	819	95.67	31.39	14.25	36.22	101.18	POSKW
pier	21	245	47.84	9.39	4.4	33.5	134.36	POSKW
shelter	100	3114	227.79	119.36	53.19	33.34	62.47	POSKW
indian	30	491	68.34	18.82	8.62	32.96	113.63	POSKW
tank	62	1597	141.23	61.21	27.45	32.66	79.05	POSKW
egyptian	61	1581	138.95	60.6	27.17	31.72	78.53	POSKW
campus	62	1639	141.23	62.82	28.15	30.9	76.85	POSKW
university	63	1744	143.51	66.85	29.9	28.32	72.89	POSKW
main	80	2442	182.23	93.6	41.74	28.17	64.26	POSKW
trend	27	462	61.5	17.71	8.09	28.0	110.58	POSKW
celebrity	21	295	47.84	11.31	5.23	27.66	123.53	POSKW
graduation	16	176	36.45	6.75	3.18	26.98	137.53	POSKW
court	71	2134	161.73	81.8	36.49	26.05	65.65	POSKW
recognise	46	1167	104.78	44.73	20.07	25.01	80.33	POSKW
grant	40	955	91.12	36.61	16.47	24.51	85.36	POSKW
barricade	15	174	34.17	6.67	3.13	24.06	134.67	POSKW
reopen	21	333	47.84	12.76	5.86	24.01	115.75	POSKW
prosecutor	27	522	61.5	20.01	9.09	23.59	101.81	POSKW
outrage	40	982	91.12	37.64	16.91	23.23	83.06	POSKW
area	177	7151	403.19	274.1	121.27	22.83	38.12	POSKW
evacuation	54	1542	123.01	59.11	26.41	22.55	70.18	POSKW
condemnation	42	1085	95.67	41.59	18.65	21.99	78.8	POSKW
move	153	6042	348.52	231.59	102.52	21.98	40.31	POSKW
recognition	30	649	68.34	24.88	11.24	21.93	93.25	POSKW
humanitarian	225	9605	512.53	368.16	162.67	21.71	32.78	POSKW
european	43	1132	97.95	43.39	19.44	21.63	77.2	POSKW
outcry	15	194	34.17	7.44	3.46	21.59	128.51	POSKW
enforcement	28	597	63.78	22.88	10.34	20.97	94.38	POSKW
full-scale	21	371	47.84	14.22	6.49	20.87	108.34	POSKW
stronghold	24	470	54.67	18.02	8.17	20.57	100.86	POSKW
objection	14	178	31.89	6.82	3.18	20.51	129.5	POSKW
retaliatory	45	1250	102.51	47.91	21.43	20.07	72.59	POSKW
shut	35	868	79.73	33.27	14.94	19.92	82.22	POSKW
coast	26	557	59.23	21.35	9.65	19.32	94.01	POSKW
southernmost	15	215	34.17	8.24	3.81	19.32	122.27	POSKW
disastrous	14	189	31.89	7.24	3.36	19.26	125.95	POSKW
channel	34	846	77.45	32.43	14.56	19.22	81.95	POSKW
refugee	99	3675	225.51	140.86	62.45	18.49	46.21	POSKW
bid	26	574	59.23	22.0	9.93	18.36	91.65	POSKW
famine	54	1670	123.01	64.01	28.53	18.35	63.09	POSKW
warrant	36	947	82.0	36.3	16.27	18.13	77.27	POSKW
shell	39	1065	88.84	40.82	18.27	18.09	74.07	POSKW
statehood	23	476	52.39	18.25	8.26	18.08	96.68	POSKW
tragic	28	651	63.78	24.95	11.24	18.03	87.52	POSKW
elsewhere	37	990	84.28	37.95	17.0	17.96	75.82	POSKW
evacuate	58	1864	132.12	71.45	31.81	17.67	59.61	POSKW
spark	61	1997	138.95	76.55	34.06	17.58	57.92	POSKW
battalion	23	485	52.39	18.59	8.41	17.54	95.24	POSKW
civilian	246	11026	560.36	422.63	186.54	17.53	28.02	POSKW
reiterate	54	1706	123.01	65.39	29.13	17.29	61.16	POSKW
riot	17	297	38.72	11.38	5.2	17.15	109.12	POSKW
pack	20	393	45.56	15.06	6.83	17.05	100.6	POSKW
border	137	5578	312.07	213.81	94.57	17.01	37.37	POSKW
opposition	49	1534	111.62	58.8	26.2	16.1	61.99	POSKW
college	35	962	79.73	36.87	16.5	15.99	73.5	POSKW
measure	64	2200	145.79	84.33	37.47	15.79	53.42	POSKW
dismantle	38	1089	86.56	41.74	18.65	15.73	69.86	POSKW
phrase	17	318	38.72	12.19	5.54	15.59	104.24	POSKW
urge	102	3978	232.35	152.48	67.52	15.5	41.51	POSKW
bind	21	457	47.84	17.52	7.91	15.2	92.79	POSKW
global	85	3207	193.62	122.93	54.48	14.87	44.67	POSKW
extermination	15	266	34.17	10.2	4.65	14.83	108.07	POSKW
veto	28	722	63.78	27.67	12.41	14.72	78.96	POSKW
decision	102	4051	232.35	155.28	68.73	14.27	39.77	POSKW
international	201	9023	457.86	345.85	152.64	14.18	27.87	POSKW
widespread	47	1517	107.06	58.15	25.88	14.14	59.22	POSKW
macron	18	375	41.0	14.37	6.5	14.0	96.17	POSKW
crowded	14	247	31.89	9.47	4.32	13.94	108.43	POSKW
arrest	80	3031	182.23	116.18	51.48	13.76	44.27	POSKW
mostly	76	2847	173.12	109.13	48.37	13.69	45.35	POSKW
defy	15	282	34.17	10.81	4.91	13.66	103.87	POSKW
overnight	39	1193	88.84	45.73	20.39	13.66	64.07	POSKW
seek	113	4635	257.4	177.66	78.57	13.52	36.66	POSKW
formally	19	424	43.28	16.25	7.33	13.17	90.8	POSKW
gallant	45	1481	102.51	56.77	25.25	12.76	57.43	POSKW
deep	51	1751	116.17	67.12	29.82	12.63	53.53	POSKW
coastal	32	937	72.89	35.92	16.04	12.56	67.97	POSKW
status	27	738	61.5	28.29	12.66	12.49	73.98	POSKW
eye	40	1278	91.12	48.99	21.81	12.4	60.14	POSKW
crackdown	15	302	34.17	11.58	5.25	12.32	98.78	POSKW
prompt	41	1329	93.39	50.94	22.67	12.18	58.83	POSKW
ministry	104	4285	236.9	164.25	72.63	12.16	36.22	POSKW
artillery	23	596	52.39	22.84	10.24	11.96	78.54	POSKW
broadcaster	20	484	45.56	18.55	8.34	11.94	84.25	POSKW
withhold	18	412	41.0	15.79	7.12	11.92	88.78	POSKW
credible	19	450	43.28	17.25	7.76	11.82	86.01	POSKW
pound	21	524	47.84	20.09	9.02	11.81	81.72	POSKW
highlight	52	1832	118.45	70.22	31.18	11.79	51.13	POSKW
rage	30	878	68.34	33.65	15.03	11.79	68.01	POSKW
western	54	1923	123.01	73.71	32.72	11.79	50.12	POSKW
viral	15	311	34.17	11.92	5.39	11.76	96.54	POSKW
neighbourhood	28	809	63.78	31.01	13.85	11.36	69.15	POSKW
slogan	23	611	52.39	23.42	10.49	11.34	76.43	POSKW
