lemma	target_count	comparison_count	target_per_1k	comparison_per_1k	expected	LL	%DIFF	status
four-day	90	172	110.43	6.69	8.05	300.52	177.15	POSKW
al-shifa	94	348	115.34	13.53	13.58	219.03	157.99	POSKW
pause	209	2021	256.44	78.6	68.51	194.57	106.16	POSKW
nov	57	110	69.94	4.28	5.13	189.5	176.94	POSKW
shifa	74	250	90.8	9.72	9.95	182.86	161.31	POSKW
fuel	201	2311	246.63	89.88	77.17	143.57	93.16	POSKW
india	116	898	142.33	34.92	31.15	142.86	121.19	POSKW
filipino	42	102	51.53	3.97	4.42	125.07	171.41	POSKW
summit	94	699	115.34	27.18	24.36	121.08	123.7	POSKW
hospital	317	5018	388.96	195.15	163.9	116.59	66.36	POSKW
incubator	34	97	41.72	3.77	4.02	92.87	166.83	POSKW
delhi	65	445	79.75	17.31	15.67	91.39	128.68	POSKW
november	212	3151	260.12	122.55	103.32	91.06	71.9	POSKW
narendra	39	150	47.85	5.83	5.81	88.59	156.54	POSKW
modi	42	191	51.53	7.43	7.16	84.62	149.61	POSKW
batch	37	141	45.4	5.48	5.47	84.57	156.89	POSKW
pakistan	88	846	107.98	32.9	28.69	82.59	106.58	POSKW
israel-hamas	193	2885	236.81	112.2	94.56	81.79	71.41	POSKW
truce	166	2324	203.68	90.38	76.5	81.56	77.06	POSKW
patient	108	1222	132.52	47.52	40.86	79.22	94.41	POSKW
oic	37	160	45.4	6.22	6.05	77.39	151.78	POSKW
extend	110	1330	134.97	51.72	44.24	72.02	89.18	POSKW
premature	31	123	38.04	4.78	4.73	68.93	155.31	POSKW
baby	97	1150	119.02	44.72	38.31	65.74	90.74	POSKW
majed	29	117	35.58	4.55	4.49	63.74	154.65	POSKW
child	437	9103	536.2	354.02	293.09	63.55	40.93	POSKW
bombardment	175	2790	214.72	108.51	91.09	63.18	65.72	POSKW
indian	63	581	77.3	22.6	19.79	62.57	109.52	POSKW
pti	32	155	39.26	6.03	5.75	61.4	146.76	POSKW
twitter	80	907	98.16	35.27	30.32	58.49	94.26	POSKW
thai	39	259	47.85	10.07	9.16	56.55	130.44	POSKW
virtual	28	133	34.36	5.17	4.95	54.56	147.66	POSKW
cooperation	76	876	93.25	34.07	29.25	54.06	92.97	POSKW
