@@4207679 <h> The Challenge of Gaza : Policy Options and Broader Implications <p> Although both the United States and Israel devote tremendous attention to the Middle East peace process , the Gaza Strip and its Hamas government have continued to vex American and Israeli policymakers . With the most recent incarnation of peace talks between the Israeli government and Palestinian Authority at a standstill , and turmoil and political change spreading throughout the Middle East and North Africa , it has become even more important for policymakers in Jerusalem and Washington to understand the factors shaping developments in Gaza . This understanding is critical for policymakers to assess options , determine the benefits and drawbacks of the alternative policies , and make strong , informed decisions . <p> Factors Shaping Israeli Policy <p> The most obvious , and the most immediate , factor shaping Israeli policy toward Gaza is the threat of mortars and rockets fired from Gaza into Israel . Hamas has not only launched these rockets , but has conducted cross-border shootings and kidnappings , and has placed improvised explosive devices near the security barrier along the @ @ @ @ @ @ @ @ @ @ to Israel , these attacks help Hamas preserve its credentials as the leading Palestinian resistance organization and enable it to retain the loyalty of militant members of its own organization . Rockets are also meant to deter Israel from killing Hamas leaders and pressure Israel into changing its policies to ones Hamas prefers , such as having the border crossings between Israel and the Gaza Strip opened.Hamas draws on many resources to stay in power . Most notably , Hamas has long exploited its infrastructure of mosques , social services , and community organizations to raise money and attract recruits . Hamas has also constructed a large tunnel network to circumvent the Israeli blockade . In addition to smuggling commercial goods into Gaza , tunnel operators bring in ammunition , rockets , and people , including militants returning from training in Lebanon and Iran . While most of the tunnels run between Gaza and Egypt , Hamas has tried to maintain tunnels into Israel , as the 2006 kidnapping of the Israeli soldier Gilad Shalit demonstrates . <p> But Hamas 's strength is a result of more than its control of @ @ @ @ @ @ @ @ @ @ in contrast to the Palestinian Authority ( PA ) and Fatah , have an image of honesty among many Palestinians . Moreover , many Palestinians admire the resistance model Hamas champions , believing that the peace process with Israel has not stopped settlements or ended the occupation . <p> Despite Hamas 's strength , Israeli and international economic pressure threaten Hamas 's position , as it must provide services and maintain its image in the face of the harsh pressure in order to stave off political foes . Politically , Hamas is beset from all sides . Fatah has been waiting in the wings , and rivals like Palestine Islamic Jihad challenge Hamas by advocating for more attacks against Israel . The emergence in Gaza of jihadists who look to al-Qa'ida for guidance ( though they are not directly tied to al-Qa'ida itself ) has also increased pressure on Hamas . <p> In addition to Hamas 's poor fiscal and political positions , it is organizationally weak in the West Bank , and does not possess the level of military strength it desires . Indeed , Israel 's 2008-2009 Operation Cast @ @ @ @ @ @ @ @ @ @ outcome of that war , and because of Gazans ' lack of appetite for confrontation with Israel , Hamas has largely stopped rocket attacks in the months following the operation . In other words , for now , Israel 's deterrence has proven stronger that Hamas 's firepower . <p> However , Hamas may become stronger in the years to come . The size of Hamas 's rocket and mortar arsenal , and the range of its rockets are likely to grow . Hamas is also likely to increase its roster of trained fighters , courtesy of Hizballah and Iran . <p> In addition to these developments , factors outside of Gaza affect Hamas and the way in which Israel and the United States should deal with the group . The political change sweeping the Middle East and North Africa , particularly the fall of Egyptian leader Hosni Mubarak , has tremendous reverberations in both Gaza and for President Mahmoud Abbas and other Palestinian moderates who seek peace . Though often uneven , Mubarak 's moves to keep Hamas 's strength in check were a critical part of President Abbas 's @ @ @ @ @ @ @ @ @ @ Because President Abbas and other moderates remain weak , some observers believe that the PA would not be able to squelch a Hamas takeover should Israeli forces depart the West Bank ( though successful efforts to improve law and order in the West Bank have begun to bolster moderates there ) . <p> The status of the peace process has been and continues to be a fundamental factor in affecting policy toward Gaza . If the peace process is robust , Israel would likely draw down its presence in the West Bank , and the stature of President Abbas and moderate voices would rise . If there is no prospect of a peace deal , many Palestinians would question the legitimacy of those who champion talks . <p> The relationship that has developed between Tehran and Hamas has had a considerable influence on developments in Gaza . Hamas has turned to Iran in part due to the isolation and financial crisis it faces , and Iran has looked to Hamas as an ally it can cultivate against Israel and use as a bridge to the broader Arab and Sunni world . @ @ @ @ @ @ @ @ @ @ is a force against Hamas 's moderation . At the same time , the attitudes of U.S. allies shape events in Gaza ; Hamas has made progress in terms of public opinion in Europe , and has improved ties with Russia and Turkey . <h> Research Activities <h> About Brookings <p> The Brookings Institution is a nonprofit organization devoted to independent research and policy solutions . Its mission is to conduct high-quality , independent research and , based on that research , to provide innovative , practical recommendations for policymakers and the public . The conclusions and recommendations of any Brookings publication are solely those of its author(s) , and do not reflect the views of the Institution , its management , or its other scholars . More ? 
@@4209359 <h> Share this on : <h> Greeks arrest captain of U.S. ship aiming to protest Gaza blockade <p> Palestinians ride on boats at the port of Gaza City during a rally in support of the Gaza-bound international Freedom Flotilla . <p> STORY HIGHLIGHTS <p> NEW : The Quartet urges all governments to discourage additional flotillas <p> The captain of The Audacity of Hope has been arrested , Greek authorities say <p> The U.S. citizen is accused of disobeying authorities and putting passengers at risk <p> His ship is one of 10 in a flotilla meant to challenge Israeli 's blockade of Gaza <p> Athens , Greece ( CNN ) -- Greek police have arrested the captain of a U.S. ship whose passengers and crew had hoped to help lead a Gaza-bound flotilla aimed at challenging Israel 's maritime blockade of the Palestinian territory . <p> John Klusmire , an American citizen and captain of The Audacity of Hope , was asked to report to a police station Saturday morning , said Jane Hirschmann , an American who is one of the flotilla organizers . <p> A spokesperson with @ @ @ @ @ @ @ @ @ @ custom , confirmed Klusmire 's arrest . The reason given was that he had left the mainland without permission and put passengers in danger . He will appear before Greek prosecutors on Tuesday . <p> Hirschmann added that , in addition to disobeying a police order , Klusmire is being charged with disturbing sea traffic . <p> " This is intimidation , " she said . " They 're making an example of our captain to stop other boats in the flotilla from trying to sail . " <p> His vessel -- which carried 36 American passengers , four crew members and several journalists , including CNN reporter Phil Black -- was intercepted Friday by a Greek Coast Guard patrol vessel roughly 10 minutes after it had departed Perama . <p> The Greek authorities were in a standoff with the crew for about three hours , during which activists sang , chanted and waved signs in support of their mission . The ordeal took a turn , however , when an inflatable boat carrying an armed Greek military commando team told the activists to follow them back to port or face @ @ @ @ @ @ @ @ @ @ Greece , where it is now tied up at a Greek naval facility . <p> Four other crew members have been ordered by Greek authorities to stay aboard the ship , Hirschmann said . Many other activist passengers have remained on the vessel as well , in a show of solidarity . <p> The Audacity of Hope is one of 10 ships that organizers hope to unite to form a flotilla heading toward the Middle East . The trip is partially meant to commemorate a May 2010 incident in which Israeli troops boarded Mavi Marmara , a Turkish ship filled with humanitarian aid and 700 activists from various countries . Nine people died in subsequent clashes with Israeli Navy commandos . <p> The Greek government said Friday that it wo n't allow any of the nine other boats in the flotilla to sail to Gaza because their mission is too dangerous . Flotilla members accuse the Greek government of buckling to pressure from Israel 's government . <p> For their part , the Israelis have said they are mounting a diplomatic offensive to try to stop the flotilla from setting sail @ @ @ @ @ @ @ @ @ @ said flotilla participants had threatened to kill Israeli military personnel should their boats be boarded . They alleged that the participants were stockpiling sacks of sulfuric acid on boats to be used in the event of any attacks on Israeli commandos . <p> Flotilla organizer Medea Benjamin dismissed the allegations as ludicrous , saying : " They see this nonviolent , rag-tag group of ships as such a threat they 're using their entire propaganda apparatus , and their diplomatic and economic clout to try to stop 300 peace activists . It 's pathetic . " <p> The Middle East Quartet -- composed of officials from the United States , United Nations , European Union and Russia -- on Saturday issued a joint statement asking " all governments concerned to use their influence to discourage additional flotillas , which risk the safety of their participants and carry the potential for escalation . " <p> The Quartet added in its statement that it " strongly urges all those wishing to deliver goods to the people of Gaza to do so through established channels , so that their cargo can be inspected and @ @ @ @ @ @ @ @ @ @ the group contends , is the best way to both help Palestinians and address Israel 's " legitimate security concerns . " 
@@4211073 <h> Six years on , lessons of Gaza withdrawal resonate for West Bank <p> New houses under construction in Shiloh , a Jewish settlement in the West Bank . ( Ryan Simon via CC ) <p> SHILOH , West Bank ( JTA ) -- Yisrael Medad remembers when just eight families lived in the red-roofed homes in this Jewish settlement deep in the hills of the West Bank . <p> Now some 2,500 Israelis live here , and Shiloh has playgrounds , schools and a yeshiva . The red-roofed homes sprawl over several hills , and new homes continue to be built . At the bottom of the hill is the archaeological excavation of the biblical Shiloh , where the tabernacle is believed to have been built . <p> Shiloh is often cited as one of the settlements likely to be uprooted under any final peace deal with the Palestinians . It is relatively isolated , about 28 miles north of Jerusalem , and halfway between the Palestinian cities of Ramallah and Nablus . <p> But with little movement in Israeli-Palestinian negotiations , Shiloh is not likely to @ @ @ @ @ @ @ @ @ @ , any discussion of dismantling Jewish settlements in the West Bank is haunted by Israel 's experience six years ago this summer , when the removal of some 9,000 settlers from their homes in the Gaza Strip was followed by a Hamas takeover of Gaza and rocket attacks against Israel . <p> " The expulsion from Gaza should serve as a warning for any withdrawal from Judea and Samaria , " said Hamutal Cohen of the Committee for the Residents of Gush Katif , which was the largest bloc of Jewish settlements in Gaza . " The government totally failed with 9,000 settlers . How can they manage with tens of thousands ? " <p> Only 20 percent of the 1,700 families forced to leave Gaza have moved into permanent homes , according to the committee . Many , especially farmers , have not been able to find work . <p> " You ca n't fix the trauma and crisis these people are still suffering six years later , " Danny Danon , a Knesset member from the Likud Party , told JTA . " Marriages have broken up and a @ @ @ @ @ @ @ @ @ @ live like refugees . " <p> There is great debate in Israel over whether the withdrawal from Gaza , which then-Prime Minister Ariel Sharon carried out in August 2005 , was a strategic failure or success . <p> On the one hand , Israel no longer had to deal with the daily security threats and headache of protecting 9,000 Jews in Gaza . And on the diplomatic front , Israel 's withdrawal ended Israel 's formal occupation of the coastal strip , which it had captured from Egypt in 1967 but never incorporated into Israel proper . <p> On the other hand , a year after the Israeli withdrawal , Hamas seized control of Gaza , and rocket fire from Gaza into southern Israel increased dramatically . At the end of 2008 , Israel launched a three-week war to stem the rocket fire , drawing international condemnation for its military actions . Over the last few years , Palestinian advocates also have argued that Israel 's blockade of Gaza , which has loosened recently , constituted a de facto continuation of the occupation . <p> Danon says the Gaza withdrawal was @ @ @ @ @ @ @ @ @ @ an even bigger mistake . Citing the rocket threat , he noted that an Israeli withdrawal even from part of the West Bank would leave central Israel -- including Tel Aviv , Jerusalem and Ben Gurion Airport -- well within Palestinian rocket range . <p> " People in Israel were willing to pay a heavy price in exchange for a real peace , but now they feel betrayed , " Danon said . " They feel like it was all for nothing . " <p> Then there 's the military challenge inherent in any West Bank withdrawal . During the pullout from Gaza , many in Israel speculated that pro-settler soldiers and officers would disobey orders to evacuate the Gaza settlers . That did not happen and most soldiers did their jobs . The few who in good conscience felt they could not perform this duty were quietly excused . <p> But a withdrawal from the West Bank could be different . For one thing , the number of settlers whose communities would not be annexed to Israel could exceed 80,000 ( an estimated 320,000 Jews are living in West Bank @ @ @ @ @ @ @ @ @ @ ) . <p> Yossi Klein Halevi , a journalist and a fellow at Jerusalem 's Shalom Hartman Institute , says support for Jewish settlers in the West Bank has gone mainstream in a way that support for settlements in Gaza never did . <p> " Two generations have grown up in Israel who see the settlements not only as part of Israel but as the heart of Israel , " Halevi told JTA . " Any withdrawal from the West Bank would involve mass refusal of soldiers to follow orders , and I am deeply worried about the ability of the army to continue to be an effective fighting force . " <p> Halevi estimates that Jewish settlers and their supporters make up 40 percent of some combat units ; an Israeli army spokesman said the IDF does not release figures " on such a sensitive subject . " Orthodox men , who constitute a wellspring of support for the settlements , continue to volunteer for combat units in large numbers . <p> These Orthodox youth also are fiercely loyal to their rabbis . When Israeli police recently detained Rabbi Dov @ @ @ @ @ @ @ @ @ @ him on charges of incitement and racism , hundreds of Orthodox youth in Jerusalem blocked streets and clashed with police . If Lior issued a ruling that it is forbidden to force Jews to leave Jewish settlements in the West Bank , many Orthodox Jewish soldiers might find themselves torn . <p> Gershon Baskin of the Israel Palestine Center for Research and Information says such fears are overstated and that most religious soldiers would follow the orders of the army , not their rabbis . <p> " Israel is a state where the rule of law works , " Baskin told JTA . " If there 's a democratic decision which is seen as legitimate , supported by Knesset and perhaps backed by a referendum , the public will not be behind any settlers who will take the law into their own hands and use violence . " <p> " It will be much more traumatic than the Gaza withdrawal . But if people are convinced that peace is going to be real and settlement withdrawal would be gradual and incremental over time , " they would support it , he @ @ @ @ @ @ @ @ @ @ live in settlements like Shiloh would have the option of staying on under Palestinian sovereignty or whether they would want to remain . Some Palestinian officials , including Palestinian Authority Prime Minister Salam Fayyad , have welcomed the idea , but PA President Mahmoud Abbas has expressed reservations . <p> " If a Palestinian state is created and my security could be ensured , I would definitely choose to stay , " said Medad of Shiloh , who has lived in the settlement since 1981. 
@@4212719 <h> ' The King 's Torah ' -- a clash of values <h> Any non-Jew can become a Jew through conversion . Many , including myself , have . <p> Rabbi Yitzak Shapira 58. ( photo credit:Courtesy ) <p> Just as the demonstrations and TV interviews about Rabbi Dov Lior 's arrest were petering out , another suspect , Rabbi Ya'acov Yosef , got arrested and released after questioning . <p> The feeling on the Left , in the political echelon and in wide parts of the mainstream media is that those recalcitrant rabbis and their unruly supporters have to be subdued . <p> After all , nobody is above the law . Not even renowned rabbis who think they can get away with writing an endorsement for a book like Torat Hamelech ( The King 's Torah ) , which explores such politically irresponsible topics as the Torah 's approach to warfare and the treatment of enemy populations . After all , for this we have the Geneva Convention . <p> Who needs more ? But can it really be dismissed as a fringe phenomenon of the @ @ @ @ @ @ @ @ @ @ reasons and seek to bend Jewish law in order to eke out permission to kill them ? A closer look reveals that we are not facing a book on hashkafa -- outlook or ideology -- which is often in the eye of the beholder . Rather , it is an exploration of the vast resources of Jewish law , from the Gemara through the Rambam 's Hilchot Melachim , the Shulhan Aruch and a gamut of other sources . <p> To give a general overview of the contents : The first chapter , as if in defiance of all those who cry out that the book condones the killing of non-Jews , deals with situations in which it is forbidden to kill a non-Jew . The second chapter examines the role of the Seven Noahide Laws , which pertain to all human beings . <p> The third chapter relates to whether the obligation to die rather than be forced to kill another person also applies to non-Jews . The fourth chapter deals with situations in which there is a conflict between saving the life of a Jew versus saving the life @ @ @ @ @ @ @ @ @ @ find explanations of laws pertaining to times of war , and the sixth and last chapter tackles harm to innocent people . It becomes clear that the religious laws examined mostly pertain to extraordinary circumstances of conflict involving danger to life . <p> The critics who accuse the authors of condoning the killing of non-Jews would be well advised to remember that in every war , situations of life and death arise , of weighing the lives of one 's own soldiers and civilians against those of the enemy 's fighters and civilians . <p> Just to give an example , during Operation Cast Lead in Gaza in early 2009 , according to some sources , up to 1,400 Arabs were killed -- a majority of them combatants , but , as in any war , also non-combatants . <p> This was complicated by the use of Arab civilians as human shields . Would the outcome have changed if a halachic approach , such as the one laid down in Torat Hamelech , had been employed in the decision- making processes ? We will never know . <p> But the real @ @ @ @ @ @ @ @ @ @ Israel 's modern history has been marked by wars , generally not wars of choice . <p> The conflict is ongoing , with terror attacks against our civilian population being part of the enemy 's strategy , and the ever-pending threat of a new , all-out regional war . It is certainly redundant to point out that the ethics of warfare differ from those of peaceful times . <p> The real issue is the distinction Halacha draws between Jews and non-Jews . This is grossly at odds with political correctness , which outlaws any reference to differences of ethnic origin or faith . This is also what causes the panic in the secular , left-wing sector and the political echelon . It 's the fear that the Western , non- Jewish world might take offense at this lack of " equality " and " enlightenment " as reflected in a book on religious law and warfare . <p> In Jewish religious law , the concept of race does n't exist . <p> Any non-Jew can become a Jew through conversion . Many , including myself , have . <p> Halacha does @ @ @ @ @ @ @ @ @ @ of Jews and those of non-Jews . The most basic distinction is that Jews are subject to 613 mitzvot , whereas non-Jews , as bnei noah , are obligated only by the Seven Noahide Laws and their various applications . This has implications when it comes to priorities and obligations in life-threatening situations . <p> This article is not the place to go into detail , but to give just one example : In examining the circumstances in which a Jew may kill a non-Jew in order to save his own life or that of other Jews , Torat Hamelech starts out from situations in which , under religious law , a non-Jew may kill another non- Jew in order to save his own life . Under such circumstances , a Jew may also kill a non-Jew for the same reason . <p> The policy imposed on the Israeli army , called " purity of arms " -- essentially leading to the concept of endangering one 's own soldiers and civilians to spare the enemy 's fighters or civilians and save the lives of " human shields " -- is alien @ @ @ @ @ @ @ @ @ @ Jew or non-Jew , would spare the other side at the cost of his own in any conflict . <p> Ironically , for the terror groups that attack Israel , there is no question whether it is permitted to kill Jewish civilians ; it is an integral part of their strategy . On our side , even a book investigating halachic sources regarding the treatment of enemy fighters and civilians triggers hysteria . <p> Maybe the almost two decades of " peace process , " which have transformed an implacable enemy into a " peace partner " while the armed conflict carries on , have contributed to such absurdities . <p> Relating to the enemy as just that , an enemy who has to be killed to stop him from killing , has become unspeakable , because its very mention would testify to the failure of diplomacy . <p> However , the charge that a halachic approach that examines the priorities in saving human lives is " racist " because it is based on the halachic distinction between Jews and non-Jews ( which is , in our case , identical to @ @ @ @ @ @ @ @ @ @ absurd . <p> In the end , the discourse is about the clash of values between Halacha on the one hand and Western secular concepts on the other . It is a clash between two systems and the two cultures they reflect . It is a struggle about the future of Israel , and indeed , of Judaism itself , which has been smoldering ever since modern Israel was founded . As my own perspective is from the religious side , I appreciate the erupting public discussion around Torat Hamelech , which shows that finally Halacha as an alternative to Western law is being taken seriously . The frantic arrests of rabbis testify to this , and have provided the spark to ignite ... <p> the Jewish spring ? The writer is a doctor who made aliya in 2008 , served as a medical officer in the IDF and lives in Kfar Tapuah in Samaria. 
