<p>
Hello	UH	hello
to	TO	to
all	PDT	all
our	PP$	our
readers	NNS	reader
,	,	,
Yahoo	NN	yahoo
Singapore	NP	Singapore
will	MD	will
be	VB	be
bringing	VBG	bring
you	PP	you
live	VBP	live
news	NN	news
updates	NNS	update
today	NN	today
.	SENT	.
<p>
The	DT	the
death	NN	death
at	IN	at
the	DT	the
age	NN	age
of	IN	of
just	RB	just
48	CD	@card@
of	IN	of
beloved	JJ	beloved
Taiwanese	JJ	Taiwanese
celebrity	NN	celebrity
Barbie	NP	Barbie
Hsu	NP	Hsu
has	VBZ	have
been	VBN	be
a	DT	a
shock	NN	shock
to	TO	to
many	JJ	many
fans	NNS	fan
.	SENT	.
More	JJR	more
details	NNS	detail
,	,	,
according	VBG	accord
to	TO	to
Taiwanese	JJ	Taiwanese
media	NNS	medium
,	,	,
have	VBP	have
surfaced	VBN	surface
around	IN	around
the	DT	the
final	JJ	final
few	JJ	few
days	NNS	day
of	IN	of
the	DT	the
'	''	'
Meteor	NN	meteor
Garden	NP	Garden
'	POS	'
star	NN	star
.	SENT	.
It	PP	it
was	VBD	be
reported	VBD	report
Hsu	NP	Hsu
had	VBD	have
already	RB	already
begun	VBN	begin
to	TO	to
feel	VB	feel
unwell	JJ	unwell
on	IN	on
29	CD	@card@
January	NP	January
and	CC	and
she	PP	she
had	VBD	have
gone	VBN	go
to	TO	to
at	IN	at
least	JJS	least
three	CD	three
medical	JJ	medical
facilities	NNS	facility
during	IN	during
her	PP$	her
holiday	NN	holiday
in	IN	in
Japan	NP	Japan
before	IN	before
finally	RB	finally
being	VBG	be
hospitalised	VBN	hospitalise
on	IN	on
1	CD	@card@
February	NP	February
.	SENT	.
She	PP	she
reportedly	RB	reportedly
died	VBD	die
the	DT	the
following	VBG	follow
day	NN	day
.	SENT	.
<p>
Taiwan	NP	Taiwan
media	NNS	medium
outlets	NNS	outlet
,	,	,
including	VBG	include
Next	NP	Next
Apple	NP	Apple
and	CC	and
