<h>
As	IN	as
Rubio	NP	Rubio
visits	NNS	visit
,	,	,
Netanyahu	NP	<unknown>
praises	VBZ	praise
Trump	NP	Trump
'	POS	'
s	NN	S
'	''	'
bold	NN	bold
'	POS	'
Gaza	NP	Gaza
vision	NN	vision
<h>
Washington	NP	Washington
'	POS	'
s	JJ	<unknown>
top	JJ	top
diplomat	NN	diplomat
is	VBZ	be
on	IN	on
his	PP$	his
first	JJ	first
visit	NN	visit
to	TO	to
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
a	DT	a
trip	NN	trip
that	WDT	that
comes	VBZ	come
after	IN	after
Trump	NP	Trump
made	VBD	make
a	DT	a
widely-condemned	JJ	<unknown>
proposal	NN	proposal
to	TO	to
take	VB	take
control	NN	control
of	IN	of
Gaza	NP	Gaza
and	CC	and
relocate	VB	relocate
its	PP$	its
more	JJR	more
than	IN	than
two	CD	two
million	CD	million
residents	NNS	resident
.	SENT	.
<p>
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Marco	NP	Marco
Rubio	NP	Rubio
(	(	(
L	NP	L
)	)	)
and	CC	and
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
shake	NN	shake
hands	NNS	hand
during	IN	during
a	DT	a
joint	JJ	joint
press	NN	press
conference	NN	conference
at	IN	at
the	DT	the
prime	JJ	prime
minister	NN	minister
'	POS	'
s	JJ	<unknown>
office	NN	office
in	IN	in
Jerusalem	NP	Jerusalem
on	IN	on
February	NP	February
16	CD	@card@
,	,	,
2025	CD	@card@
.	SENT	.
Photo	NN	photo
by	IN	by
Evelyn	NP	Evelyn
Hockstein	NP	Hockstein
/	SYM	/
POOL	NN	pool
/	SYM	/
AFP	NP	AFP
<p>
JERSUSALEM	NP	<unknown>
-	NP	<unknown>
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
have	VBP	have
a	DT	a
common	JJ	common
approach	NN	approach
to	TO	to
Gaza	NP	Gaza
,	,	,
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
said	VBD	say
,	,	,
praising	VBG	praise
President	NP	President
Donald	NP	Donald
Trump	NP	Trump
'	POS	'
s	NN	S
"	``	"
bold	JJ	bold
vision	NN	vision
"	''	"
for	IN	for
the	DT	the
territory	NN	territory
after	IN	after
talks	NNS	talk
Sunday	NP	Sunday
with	IN	with
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Marco	NP	Marco
